ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:11919
21572874,2016-10-18 19:30:34,732D - Exams,GNU C++14,Accepted,218 ms,3100 KB
21572584,2016-10-18 19:18:01,732D - Exams,GNU C++14,Wrong answer on test 4,78 ms,3000 KB
21572544,2016-10-18 19:16:08,732D - Exams,GNU C++14,Wrong answer on test 4,78 ms,3000 KB
21540319,2016-10-17 19:10:29,732D - Exams,GNU C++14,Wrong answer on test 15,234 ms,5900 KB
21529043,2016-10-17 17:59:53,732C - Sanatorium,GNU C++11,Accepted,31 ms,2200 KB
21525767,2016-10-17 17:48:27,732B - Cormen --- The Best Friend Of a Man,GNU C++11,Accepted,15 ms,2200 KB
21523963,2016-10-17 17:43:24,732B - Cormen --- The Best Friend Of a Man,GNU C++11,Wrong answer on pretest 5,0 ms,2200 KB
21523396,2016-10-17 17:41:53,732A - Buy a Shovel,GNU C++11,Accepted,31 ms,2000 KB
21496872,2016-10-16 16:19:11,731B - Coupons and Discounts,GNU C++11,Accepted,405 ms,2000 KB
21496842,2016-10-16 16:18:12,731B - Coupons and Discounts,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
21496086,2016-10-16 15:56:50,731A - Night at the Museum,GNU C++11,Accepted,15 ms,2000 KB
21378886,2016-10-12 13:36:27,493C - Vasya and Basketball,GNU C++11,Wrong answer on test 3,31 ms,5200 KB
21378749,2016-10-12 13:28:43,493C - Vasya and Basketball,GNU C++11,Wrong answer on test 3,15 ms,5200 KB
21378665,2016-10-12 13:24:29,493C - Vasya and Basketball,GNU C++11,Wrong answer on test 6,187 ms,5200 KB
21378652,2016-10-12 13:23:50,493C - Vasya and Basketball,GNU C++11,Wrong answer on test 3,15 ms,5200 KB
21378640,2016-10-12 13:23:00,493C - Vasya and Basketball,GNU C++11,Wrong answer on test 6,171 ms,3600 KB
21378622,2016-10-12 13:22:20,493C - Vasya and Basketball,GNU C++11,Compilation error,0 ms,0 KB
21378033,2016-10-12 12:49:20,493B - Vasya and Wrestling,GNU C++11,Accepted,498 ms,3600 KB
21377846,2016-10-12 12:38:42,493A - Vasya and Football,GNU C++11,Wrong answer on test 5,15 ms,2000 KB
21377811,2016-10-12 12:36:18,493A - Vasya and Football,GNU C++11,Wrong answer on test 5,15 ms,2100 KB
21326859,2016-10-09 23:45:16,724C - Ray Tracing,GNU C++11,Accepted,826 ms,19000 KB
21326843,2016-10-09 23:44:00,724C - Ray Tracing,GNU C++11,Wrong answer on test 10,655 ms,19000 KB
21326820,2016-10-09 23:41:58,724C - Ray Tracing,GNU C++11,Wrong answer on test 10,670 ms,14800 KB
21326801,2016-10-09 23:40:08,724C - Ray Tracing,GNU C++14,Compilation error,0 ms,0 KB
21326789,2016-10-09 23:39:05,724C - Ray Tracing,GNU C++14,Compilation error,0 ms,0 KB
21301921,2016-10-08 20:20:53,724B - Batch Sort,GNU C++14,Wrong answer on test 40,15 ms,2000 KB
21300200,2016-10-08 19:22:34,724C - Ray Tracing,GNU C++14,Time limit exceeded on test 6,2000 ms,24900 KB
21295720,2016-10-08 17:51:14,724B - Batch Sort,GNU C++14,Wrong answer on test 40,31 ms,2000 KB
21295506,2016-10-08 17:48:38,724C - Ray Tracing,GNU C++14,Time limit exceeded on pretest 10,2000 ms,6800 KB
21295173,2016-10-08 17:44:26,724C - Ray Tracing,GNU C++14,Time limit exceeded on pretest 10,2000 ms,6800 KB
21294202,2016-10-08 17:32:19,724B - Batch Sort,GNU C++14,Wrong answer on pretest 1,0 ms,1900 KB
21293436,2016-10-08 17:22:55,724B - Batch Sort,GNU C++14,Wrong answer on pretest 6,15 ms,1900 KB
21283120,2016-10-08 15:35:04,724A - Checking the Calendar,GNU C++14,Accepted,15 ms,1900 KB
21239857,2016-10-06 18:58:28,723D - Lakes in Berland,GNU C++14,Accepted,15 ms,200 KB
21239728,2016-10-06 18:52:50,723D - Lakes in Berland,GNU C++14,Memory limit exceeded on test 26,451 ms,262100 KB
21238739,2016-10-06 18:13:09,723D - Lakes in Berland,GNU C++14,Wrong answer on test 12,46 ms,9800 KB
21238729,2016-10-06 18:12:40,723D - Lakes in Berland,GNU C++14,Wrong answer on test 12,61 ms,9800 KB
21238715,2016-10-06 18:11:59,723D - Lakes in Berland,GNU C++14,Wrong answer on test 12,46 ms,9800 KB
21238672,2016-10-06 18:10:09,723D - Lakes in Berland,GNU C++14,Wrong answer on test 12,46 ms,9800 KB
21218674,2016-10-05 20:58:53,723D - Lakes in Berland,GNU C++14,Wrong answer on test 12,46 ms,9800 KB
21214185,2016-10-05 19:03:25,723D - Lakes in Berland,GNU C++14,Wrong answer on test 9,61 ms,9800 KB
21213889,2016-10-05 18:53:46,723D - Lakes in Berland,GNU C++11,Wrong answer on test 9,61 ms,9700 KB
