ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:14828
18808268,2016-06-29 22:03:00,688E - The Values You Can Make,GNU C++,Wrong answer on pretest 6,15 ms,500 KB
18801515,2016-06-29 21:15:04,688C - NP-Hard Problem,GNU C++,Accepted,109 ms,4400 KB
18794236,2016-06-29 20:32:56,688B - Lovely Palindromes,GNU C++,Accepted,31 ms,200 KB
18790435,2016-06-29 20:18:16,688A - Opponents,GNU C++,Accepted,15 ms,0 KB
18619825,2016-06-20 22:10:47,677D - Vanya and Treasure,GNU C++,Time limit exceeded on test 19,1500 ms,4100 KB
18619698,2016-06-20 21:59:18,677C - Vanya and Label,GNU C++,Accepted,31 ms,100 KB
18619694,2016-06-20 21:59:04,677D - Vanya and Treasure,GNU C++,Wrong answer on test 16,31 ms,3500 KB
18619686,2016-06-20 21:58:20,677D - Vanya and Treasure,GNU C++,Wrong answer on test 1,0 ms,1400 KB
18617469,2016-06-20 19:24:57,677B - Vanya and Food Processor,GNU C++,Accepted,31 ms,400 KB
18617442,2016-06-20 19:23:54,677B - Vanya and Food Processor,GNU C++,Wrong answer on test 14,31 ms,400 KB
18617428,2016-06-20 19:23:01,677B - Vanya and Food Processor,GNU C++,Wrong answer on test 1,0 ms,0 KB
18617122,2016-06-20 19:01:59,677B - Vanya and Food Processor,GNU C++,Wrong answer on test 1,0 ms,0 KB
18617094,2016-06-20 18:59:48,677B - Vanya and Food Processor,GNU C++,Wrong answer on test 1,0 ms,0 KB
18617066,2016-06-20 18:58:17,677B - Vanya and Food Processor,GNU C++,Time limit exceeded on test 1,1000 ms,0 KB
18616925,2016-06-20 18:49:46,677B - Vanya and Food Processor,GNU C++,Time limit exceeded on test 8,1000 ms,0 KB
18616906,2016-06-20 18:48:47,677B - Vanya and Food Processor,GNU C++,Wrong answer on test 7,187 ms,0 KB
18616875,2016-06-20 18:46:43,677A - Vanya and Fence,GNU C++,Accepted,15 ms,0 KB
18616845,2016-06-20 18:44:01,677B - Vanya and Food Processor,GNU C++,Wrong answer on test 3,15 ms,0 KB
18575304,2016-06-18 11:59:45,682A - Alyona and Numbers,GNU C++,Accepted,15 ms,0 KB
18494505,2016-06-15 13:37:06,681C - Heap Operations,GNU C++,Accepted,873 ms,31100 KB
18492690,2016-06-15 12:14:06,681B - Economy Game,GNU C++,Accepted,30 ms,2200 KB
18471679,2016-06-14 20:56:37,681C - Heap Operations,GNU C++,Time limit exceeded on test 10,1000 ms,16100 KB
18468816,2016-06-14 20:36:57,681C - Heap Operations,GNU C++,Wrong answer on pretest 1,0 ms,2000 KB
18466619,2016-06-14 20:23:29,681C - Heap Operations,GNU C++,Wrong answer on pretest 1,15 ms,2000 KB
18457516,2016-06-14 19:41:43,681A - A Good Contest,GNU C++,Accepted,15 ms,2200 KB
18313923,2016-06-08 20:16:49,680B - Bear and Finding Criminals,GNU C++,Accepted,15 ms,2200 KB
18309714,2016-06-08 19:59:59,680A - Bear and Five Cards,GNU C++,Accepted,15 ms,2200 KB
18308736,2016-06-08 19:56:42,680A - Bear and Five Cards,GNU C++,Wrong answer on pretest 3,15 ms,2000 KB
17823967,2016-05-09 21:41:37,673B - Problems for Round,GNU C++,Accepted,46 ms,2200 KB
17823948,2016-05-09 21:40:08,673B - Problems for Round,GNU C++,Wrong answer on test 4,15 ms,2000 KB
17823830,2016-05-09 21:24:53,673A - Bear and Game,GNU C++,Accepted,15 ms,2200 KB
17099741,2016-04-01 19:20:39,656B - Scrambled,GNU C++,Accepted,31 ms,2200 KB
17099026,2016-04-01 19:17:08,656B - Scrambled,GNU C++,Wrong answer on test 6,15 ms,2000 KB
17054359,2016-03-30 20:53:35,659D - Bicycle Race,GNU C++,Accepted,15 ms,2000 KB
17051889,2016-03-30 20:30:32,659C - Tanya and Toys,GNU C++,Accepted,46 ms,3100 KB
17049084,2016-03-30 20:08:54,659B - Qualifying Contest,GNU C++,Accepted,311 ms,8500 KB
17043366,2016-03-30 19:34:24,659A - Round House,GNU C++,Hacked,31 ms,2000 KB
17041452,2016-03-30 19:24:58,659A - Round House,GNU C++,Wrong answer on pretest 7,15 ms,2200 KB
16359663,2016-02-26 21:05:34,633B - A Trivial Problem,GNU C++,Accepted,15 ms,3900 KB
16355045,2016-02-26 20:31:46,633A - Ebony and Ivory,GNU C++,Accepted,31 ms,0 KB
12940043,2015-09-10 20:45:43,577A - Multiplication Table,GNU C++,Wrong answer on pretest 7,15 ms,0 KB
12936182,2015-09-10 20:20:10,577B - Modulo Sum,GNU C++,Wrong answer on pretest 9,15 ms,0 KB
12935312,2015-09-10 20:14:46,577B - Modulo Sum,GNU C++,Wrong answer on pretest 8,30 ms,0 KB
12931886,2015-09-10 19:55:18,577A - Multiplication Table,GNU C++,Wrong answer on pretest 7,15 ms,0 KB
12930493,2015-09-10 19:48:23,577A - Multiplication Table,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
12504669,2015-08-13 20:12:26,570B - Simple Game,GNU C++,Hacked,30 ms,0 KB
12500092,2015-08-13 19:52:32,570A - Elections,GNU C++,Accepted,31 ms,0 KB
12497795,2015-08-13 19:44:53,570A - Elections,GNU C++,Wrong answer on pretest 13,30 ms,0 KB
12449237,2015-08-10 20:35:45,569B - Inventory,GNU C++,Runtime error on pretest 7,15 ms,0 KB
12449123,2015-08-10 20:34:37,569B - Inventory,GNU C,Compilation error,0 ms,0 KB
