ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3565
20995523,2016-09-29 17:45:04,719B - Anatoly and Cockroaches,GNU C++,Accepted,62 ms,3900 KB
20062074,2016-08-22 18:40:24,710E - Generate a String,GNU C++,Accepted,31 ms,80300 KB
20061828,2016-08-22 18:38:22,710E - Generate a String,GNU C++,Wrong answer on test 3,15 ms,80300 KB
20059618,2016-08-22 18:19:12,710E - Generate a String,GNU C++,Wrong answer on test 3,15 ms,80300 KB
20059459,2016-08-22 18:17:40,710E - Generate a String,GNU C++,Wrong answer on test 3,15 ms,80300 KB
20057781,2016-08-22 18:04:23,710C - Magic Odd Square,GNU C++,Accepted,15 ms,2100 KB
20050708,2016-08-22 17:23:14,710B - Optimal Point on a Line,GNU C++,Accepted,234 ms,9900 KB
20050034,2016-08-22 17:20:37,710B - Optimal Point on a Line,GNU C++,Wrong answer on test 2,15 ms,9900 KB
20048509,2016-08-22 17:15:52,710A - King Moves,GNU C++,Accepted,15 ms,2000 KB
20037980,2016-08-22 06:24:53,703D - Mishka and Interesting sum,GNU C++,Accepted,1778 ms,77900 KB
20037960,2016-08-22 06:22:54,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,46900 KB
20037869,2016-08-22 06:13:27,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,172200 KB
20037666,2016-08-22 05:51:24,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,159000 KB
20037656,2016-08-22 05:50:09,703D - Mishka and Interesting sum,GNU C++,Compilation error,0 ms,0 KB
20037624,2016-08-22 05:45:17,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,65000 KB
19998201,2016-08-20 17:19:14,707C - Pythagorean Triples,GNU C++,Accepted,30 ms,2000 KB
19996872,2016-08-20 17:10:08,707C - Pythagorean Triples,GNU C++,Skipped,31 ms,2000 KB
19996623,2016-08-20 17:08:27,707C - Pythagorean Triples,GNU C++,Wrong answer on pretest 3,15 ms,2000 KB
19990033,2016-08-20 16:32:02,707B - Bakery,GNU C++,Accepted,217 ms,8800 KB
19986092,2016-08-20 16:15:29,707A - Brain's Photos,GNU C++,Accepted,15 ms,2000 KB
19974111,2016-08-20 06:07:36,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,96000 KB
19974009,2016-08-20 05:53:25,703D - Mishka and Interesting sum,GNU C++,Wrong answer on test 8,15 ms,96000 KB
19973335,2016-08-20 04:28:02,703B - Mishka and trip,GNU C++,Accepted,109 ms,3600 KB
