ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:19534
21832099,2016-10-27 21:40:32,622D - Optimal Number Permutation,GNU C++11,Accepted,233 ms,3900 KB
21831539,2016-10-27 21:20:22,622D - Optimal Number Permutation,GNU C++11,Wrong answer on test 5,15 ms,0 KB
21790865,2016-10-26 12:44:35,725B - Food on the Plane,GNU C++11,Accepted,30 ms,0 KB
21786359,2016-10-26 06:57:39,706C - Hard problem,GNU C++11,Accepted,218 ms,12600 KB
21754558,2016-10-24 19:32:21,725A - Jumping Ball,GNU C++11,Accepted,31 ms,200 KB
21591912,2016-10-19 15:23:26,727D - T-shirts Distribution,GNU C++14,Accepted,108 ms,6600 KB
21591854,2016-10-19 15:21:52,727D - T-shirts Distribution,GNU C++14,Wrong answer on test 3,15 ms,1900 KB
21582766,2016-10-19 08:20:56,727D - T-shirts Distribution,GNU C++14,Wrong answer on test 3,0 ms,1900 KB
21582247,2016-10-19 07:40:57,727C - Guess the Array,GNU C++14,Accepted,46 ms,1900 KB
21582235,2016-10-19 07:40:10,727C - Guess the Array,GNU C++14,Runtime error on test 1,0 ms,1800 KB
21574890,2016-10-18 21:24:18,732E - Sockets,GNU C++14,Accepted,624 ms,18500 KB
21574774,2016-10-18 21:18:56,732E - Sockets,GNU C++14,Wrong answer on test 5,15 ms,1900 KB
21574720,2016-10-18 21:16:24,732E - Sockets,GNU C++14,Time limit exceeded on test 5,2000 ms,1900 KB
21556900,2016-10-18 07:24:27,732D - Exams,GNU C++14,Accepted,46 ms,3900 KB
21556828,2016-10-18 07:19:15,732D - Exams,GNU C++14,Wrong answer on test 5,31 ms,3600 KB
21547037,2016-10-17 21:16:49,732C - Sanatorium,GNU C++14,Accepted,31 ms,1900 KB
21541383,2016-10-17 19:20:22,732B - Cormen --- The Best Friend Of a Man,GNU C++14,Accepted,15 ms,1900 KB
21534404,2016-10-17 18:27:04,732C - Sanatorium,GNU C++14,Wrong answer on test 43,15 ms,1900 KB
21528237,2016-10-17 17:56:37,732B - Cormen --- The Best Friend Of a Man,GNU C++14,Hacked,15 ms,1900 KB
21524786,2016-10-17 17:45:35,732A - Buy a Shovel,GNU C++14,Accepted,15 ms,1900 KB
21523669,2016-10-17 17:42:37,732A - Buy a Shovel,GNU C++14,Wrong answer on pretest 6,15 ms,1900 KB
21515795,2016-10-17 12:54:09,731F - Video Cards,GNU C++14,Accepted,93 ms,5000 KB
21515684,2016-10-17 12:47:12,731F - Video Cards,GNU C++14,Wrong answer on test 1,0 ms,5000 KB
21515586,2016-10-17 12:40:37,731F - Video Cards,GNU C++14,Wrong answer on test 7,15 ms,5000 KB
21515554,2016-10-17 12:39:01,731F - Video Cards,GNU C++14,Wrong answer on test 4,15 ms,5000 KB
21514758,2016-10-17 11:53:05,731B - Coupons and Discounts,GNU C++14,Accepted,77 ms,2600 KB
21514741,2016-10-17 11:52:07,731B - Coupons and Discounts,GNU C++14,Wrong answer on test 5,15 ms,1900 KB
21491801,2016-10-16 14:37:48,731B - Coupons and Discounts,GNU C++14,Accepted,93 ms,2600 KB
21490030,2016-10-16 14:23:51,731B - Coupons and Discounts,GNU C++14,Wrong answer on pretest 5,15 ms,1900 KB
21489130,2016-10-16 14:15:43,731B - Coupons and Discounts,GNU C++14,Wrong answer on pretest 5,15 ms,1900 KB
21488775,2016-10-16 14:12:22,731B - Coupons and Discounts,GNU C++14,Wrong answer on pretest 3,15 ms,1900 KB
21487166,2016-10-16 13:57:25,731C - Socks,GNU C++14,Accepted,421 ms,18700 KB
21477359,2016-10-16 12:54:38,731A - Night at the Museum,GNU C++14,Accepted,15 ms,1900 KB
21475638,2016-10-16 12:27:14,727C - Guess the Array,GNU C++14,Wrong answer on test 3,15 ms,1900 KB
21475600,2016-10-16 12:24:24,727C - Guess the Array,GNU C++14,Idleness limit exceeded on test 1,0 ms,0 KB
21475558,2016-10-16 12:21:44,727C - Guess the Array,GNU C++14,Idleness limit exceeded on test 1,0 ms,0 KB
21475520,2016-10-16 12:20:11,727C - Guess the Array,GNU C++11,Idleness limit exceeded on test 1,0 ms,0 KB
21474653,2016-10-16 11:30:33,727A - Transformation: from A to B,GNU C++14,Accepted,15 ms,1900 KB
21474499,2016-10-16 11:21:19,727A - Transformation: from A to B,GNU C++14,Memory limit exceeded on test 5,311 ms,262100 KB
21474418,2016-10-16 11:15:13,727A - Transformation: from A to B,GNU C++11,Memory limit exceeded on test 5,264 ms,262100 KB
21430144,2016-10-14 21:06:43,469C - 24 Game,Java 8,Accepted,670 ms,20300 KB
21430002,2016-10-14 20:59:18,469D - Two Sets,GNU C++14,Wrong answer on test 1,0 ms,2000 KB
21429409,2016-10-14 20:33:21,469C - 24 Game,GNU C++14,Accepted,31 ms,2300 KB
21429194,2016-10-14 20:24:46,469C - 24 Game,GNU C++14,Wrong answer on test 6,15 ms,1900 KB
21428588,2016-10-14 19:58:20,469C - 24 Game,GNU C++14,Wrong answer on test 6,15 ms,1900 KB
21427764,2016-10-14 19:23:22,469B - Chat Online,GNU C++14,Accepted,15 ms,1900 KB
21427540,2016-10-14 19:13:47,469B - Chat Online,GNU C++14,Wrong answer on test 3,15 ms,1900 KB
21427259,2016-10-14 19:02:53,469A - I Wanna Be the Guy,GNU C++14,Accepted,15 ms,2300 KB
21389533,2016-10-12 21:25:13,723E - One-Way Reform,GNU C++14,Accepted,46 ms,4900 KB
21389486,2016-10-12 21:22:24,723E - One-Way Reform,GNU C++14,Wrong answer on test 5,15 ms,2100 KB
21389293,2016-10-12 21:12:33,723E - One-Way Reform,GNU C++14,Wrong answer on test 11,15 ms,2100 KB
21389109,2016-10-12 21:03:43,723E - One-Way Reform,GNU C++14,Wrong answer on test 11,15 ms,2100 KB
21388871,2016-10-12 20:54:01,723E - One-Way Reform,GNU C++14,Wrong answer on test 5,15 ms,2100 KB
21388806,2016-10-12 20:50:23,723E - One-Way Reform,GNU C++14,Wrong answer on test 5,15 ms,2100 KB
21388780,2016-10-12 20:49:16,723E - One-Way Reform,GNU C++14,Wrong answer on test 5,15 ms,2100 KB
21388310,2016-10-12 20:29:44,723E - One-Way Reform,GNU C++14,Wrong answer on test 5,15 ms,2000 KB
21375935,2016-10-12 10:51:31,724D - Dense Subsequence,GNU C++14,Wrong answer on test 12,15 ms,2100 KB
21375667,2016-10-12 10:34:47,724D - Dense Subsequence,GNU C++14,Wrong answer on test 12,15 ms,2100 KB
21375421,2016-10-12 10:21:49,724D - Dense Subsequence,GNU C++14,Wrong answer on test 12,15 ms,2000 KB
21375294,2016-10-12 10:13:13,724D - Dense Subsequence,GNU C++14,Wrong answer on test 12,15 ms,2000 KB
21351666,2016-10-11 09:03:50,724D - Dense Subsequence,GNU C++14,Wrong answer on test 5,15 ms,2000 KB
21350659,2016-10-11 07:38:41,724B - Batch Sort,GNU C++14,Accepted,15 ms,1900 KB
21299431,2016-10-08 18:58:58,724B - Batch Sort,GNU C++14,Wrong answer on test 44,31 ms,1900 KB
21299360,2016-10-08 18:57:09,724B - Batch Sort,GNU C++14,Wrong answer on test 40,15 ms,1900 KB
21299301,2016-10-08 18:55:46,724B - Batch Sort,GNU C++14,Wrong answer on test 24,15 ms,1900 KB
21294672,2016-10-08 17:38:01,724A - Checking the Calendar,GNU C++14,Accepted,15 ms,1900 KB
21291305,2016-10-08 16:57:14,724B - Batch Sort,GNU C++14,Wrong answer on test 23,31 ms,1900 KB
21259099,2016-10-07 16:40:05,723A - The New Year: Meeting Friends,GNU C++14,Accepted,15 ms,1900 KB
21259067,2016-10-07 16:38:25,723B - Text Document Analysis,GNU C++14,Accepted,15 ms,1900 KB
21257923,2016-10-07 15:49:15,723C - Polycarp at the Radio,GNU C++14,Accepted,31 ms,1900 KB
21257796,2016-10-07 15:42:46,723C - Polycarp at the Radio,GNU C++14,Wrong answer on test 12,15 ms,1900 KB
21257712,2016-10-07 15:39:32,723C - Polycarp at the Radio,GNU C++14,Wrong answer on test 12,15 ms,1900 KB
21257392,2016-10-07 15:26:03,723D - Lakes in Berland,GNU C++14,Accepted,15 ms,2000 KB
21254941,2016-10-07 13:22:13,723D - Lakes in Berland,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
