ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:12564
19628709,2016-08-04 19:32:46,703B - Mishka and trip,GNU C++11,Accepted,312 ms,3700 KB
19626478,2016-08-04 19:11:20,703A - Mishka and Game,GNU C++11,Accepted,15 ms,2000 KB
19626331,2016-08-04 19:09:44,703B - Mishka and trip,GNU C++11,Wrong answer on pretest 10,280 ms,2900 KB
19621200,2016-08-04 18:23:42,703A - Mishka and Game,GNU C++11,Wrong answer on pretest 16,15 ms,2000 KB
18689023,2016-06-23 23:57:18,686C - Robbers' watch,GNU C++11,Accepted,31 ms,0 KB
18688764,2016-06-23 23:42:19,686C - Robbers' watch,GNU C++11,Wrong answer on test 11,31 ms,0 KB
18676375,2016-06-23 20:12:07,686B - Little Robber Girl's Zoo,GNU C++11,Accepted,30 ms,100 KB
18672789,2016-06-23 19:54:11,686A - Free Ice Cream,GNU C++11,Accepted,15 ms,0 KB
18229873,2016-06-03 13:43:49,675A - Infinite Sequence,GNU C++,Accepted,15 ms,2200 KB
18229849,2016-06-03 13:41:27,675A - Infinite Sequence,GNU C++,Runtime error on test 6,15 ms,2200 KB
18229797,2016-06-03 13:37:15,675A - Infinite Sequence,GNU C++,Wrong answer on test 5,15 ms,2200 KB
15358381,2016-01-14 20:18:21,614B - Gena's Code,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
15350797,2016-01-14 19:50:18,614A - Link/Cut Tree,GNU C++,Hacked,15 ms,0 KB
15349669,2016-01-14 19:46:19,614A - Link/Cut Tree,GNU C++,Wrong answer on pretest 14,15 ms,0 KB
14601516,2015-12-01 20:20:01,604C - Alternative Thinking,GNU C++,Wrong answer on pretest 6,15 ms,3900 KB
14601090,2015-12-01 20:16:18,604C - Alternative Thinking,GNU C++,Wrong answer on pretest 7,15 ms,3900 KB
14597476,2015-12-01 19:46:07,604B - More Cowbell,GNU C++,Accepted,202 ms,3900 KB
14596530,2015-12-01 19:38:41,604B - More Cowbell,GNU C++,Wrong answer on pretest 4,15 ms,3900 KB
14590601,2015-12-01 19:00:19,604A - Uncowed Forces,GNU C++,Accepted,15 ms,0 KB
14270483,2015-11-15 17:34:51,509B - Painting Pebbles,GNU C++,Accepted,15 ms,3900 KB
14270433,2015-11-15 17:30:24,509B - Painting Pebbles,GNU C++,Wrong answer on test 4,0 ms,3900 KB
14270101,2015-11-15 17:05:08,509A - Maximum in Table,GNU C++,Accepted,15 ms,1000 KB
14270079,2015-11-15 17:02:59,509A - Maximum in Table,GNU C++,Wrong answer on test 1,0 ms,1000 KB
14270045,2015-11-15 17:00:33,509A - Maximum in Table,GNU C++,Wrong answer on test 1,0 ms,1000 KB
14270012,2015-11-15 16:58:50,509A - Maximum in Table,GNU C++,Wrong answer on test 1,15 ms,1000 KB
14269963,2015-11-15 16:55:27,509A - Maximum in Table,GNU C++,Wrong answer on test 1,0 ms,0 KB
14269927,2015-11-15 16:53:23,509A - Maximum in Table,GNU C++,Wrong answer on test 1,0 ms,0 KB
14269914,2015-11-15 16:52:26,509A - Maximum in Table,GNU C,Compilation error,0 ms,0 KB
14217017,2015-11-12 19:52:08,595A - Vitaly and Night,GNU C++,Accepted,31 ms,0 KB
14217010,2015-11-12 19:51:42,595A - Vitaly and Night,GNU C,Compilation error,0 ms,0 KB
6881395,2014-06-13 20:54:21,436B - Om Nom and Spiders,GNU C++,Accepted,452 ms,8800 KB
6879293,2014-06-13 20:24:51,436A - Feed with Candy,GNU C++,Accepted,31 ms,100 KB
6878547,2014-06-13 20:16:36,436A - Feed with Candy,GNU C++,Wrong answer on pretest 2,0 ms,200 KB
6878003,2014-06-13 20:11:24,436A - Feed with Candy,GNU C++,Wrong answer on pretest 2,15 ms,200 KB
6875008,2014-06-13 19:46:38,436A - Feed with Candy,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
6870279,2014-06-13 00:25:26,426B - Sereja and Mirroring,GNU C++,Accepted,280 ms,200 KB
6870275,2014-06-13 00:24:52,426B - Sereja and Mirroring,GNU C++,Memory limit exceeded on test 1,0 ms,262100 KB
6870190,2014-06-12 23:50:08,426A - Sereja and Mugs,GNU C++,Accepted,249 ms,3900 KB
6870181,2014-06-12 23:48:56,426A - Sereja and Mugs,GNU C++,Wrong answer on test 1,15 ms,3900 KB
6870180,2014-06-12 23:48:24,426A - Sereja and Mugs,GNU C++,Memory limit exceeded on test 1,0 ms,262100 KB
6870142,2014-06-12 23:29:59,426A - Sereja and Mugs,GNU C++,Wrong answer on test 4,15 ms,0 KB
6869016,2014-06-12 17:46:21,441D - Valera and Swaps,GNU C++,Wrong answer on test 5,15 ms,0 KB
6868485,2014-06-12 15:46:39,432B - Football Kit,GNU C++,Accepted,327 ms,15700 KB
6868180,2014-06-12 14:38:00,432A - Choosing Teams,GNU C++,Accepted,78 ms,39100 KB
