ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1059
21645069,2016-10-21 18:08:13,54C - First Digit Law,GNU C++11,Accepted,92 ms,7900 KB
21644788,2016-10-21 17:57:03,54B - Cutting Jigsaw Puzzle,GNU C++11,Accepted,62 ms,0 KB
21644735,2016-10-21 17:54:46,54C - First Digit Law,GNU C++11,Wrong answer on test 52,62 ms,900 KB
21644590,2016-10-21 17:49:19,54C - First Digit Law,GNU C++11,Wrong answer on test 8,30 ms,800 KB
21644550,2016-10-21 17:47:35,54C - First Digit Law,GNU C++11,Wrong answer on test 1,30 ms,1200 KB
21643710,2016-10-21 17:08:56,54A - Presents,GNU C++11,Accepted,30 ms,0 KB
20118731,2016-08-24 20:08:53,708B - Recover the String,GNU C++,Accepted,46 ms,2000 KB
20111177,2016-08-24 19:41:53,708A - Letters Cyclic Shift,GNU C++,Accepted,61 ms,2300 KB
19810921,2016-08-11 21:32:50,706C - Hard problem,GNU C++,Wrong answer on test 18,217 ms,11100 KB
19804285,2016-08-11 20:47:08,706D - Vasiliy's Multiset,GNU C++,Runtime error on pretest 5,873 ms,35600 KB
19803830,2016-08-11 20:44:27,706D - Vasiliy's Multiset,GNU C++,Wrong answer on pretest 2,842 ms,35600 KB
19802605,2016-08-11 20:37:57,706D - Vasiliy's Multiset,GNU C++,Runtime error on pretest 5,841 ms,35600 KB
19802548,2016-08-11 20:37:36,706D - Vasiliy's Multiset,GNU C++,Wrong answer on pretest 1,0 ms,2000 KB
19802058,2016-08-11 20:35:11,706D - Vasiliy's Multiset,GNU C++,Wrong answer on pretest 1,0 ms,2000 KB
19800571,2016-08-11 20:28:06,706D - Vasiliy's Multiset,GNU C++,Runtime error on pretest 5,873 ms,35600 KB
19794985,2016-08-11 20:00:23,706C - Hard problem,GNU C++,Wrong answer on pretest 5,15 ms,2000 KB
19794385,2016-08-11 19:57:47,706B - Interesting drink,GNU C++,Accepted,654 ms,2400 KB
19793190,2016-08-11 19:53:08,706A - Beru-taxi,GNU C++,Accepted,31 ms,2000 KB
19791966,2016-08-11 19:48:41,706C - Hard problem,GNU C++,Wrong answer on pretest 5,15 ms,2000 KB
19132485,2016-07-14 21:48:40,697E - PLEASE,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
19129259,2016-07-14 21:20:05,697D - Puzzles,GNU C++,Accepted,795 ms,9400 KB
19129111,2016-07-14 21:18:40,697D - Puzzles,GNU C++,Wrong answer on pretest 3,30 ms,0 KB
19119047,2016-07-14 20:05:52,697C - Lorenzo Von Matterhorn,GNU C++,Accepted,62 ms,3800 KB
19116775,2016-07-14 19:55:07,697B - Barnicle,GNU C++,Accepted,31 ms,0 KB
19112018,2016-07-14 19:39:15,697A - Pineapple Incident,GNU C++,Accepted,15 ms,0 KB
19092505,2016-07-13 20:58:49,691D - Swaps in Permutation,GNU C++,Time limit exceeded on test 21,5000 ms,59600 KB
19092410,2016-07-13 20:57:50,691D - Swaps in Permutation,GNU C++,Wrong answer on test 1,15 ms,0 KB
19087301,2016-07-13 20:08:22,691B - s-palindrome,GNU C++,Accepted,15 ms,0 KB
19087219,2016-07-13 20:07:44,691B - s-palindrome,GNU C++,Wrong answer on test 3,15 ms,0 KB
19086949,2016-07-13 20:05:49,691B - s-palindrome,GNU C++,Wrong answer on test 3,15 ms,0 KB
19086889,2016-07-13 20:05:16,691B - s-palindrome,GNU C++,Wrong answer on test 1,15 ms,0 KB
19086716,2016-07-13 20:04:03,691B - s-palindrome,GNU C++,Wrong answer on test 3,15 ms,0 KB
19085989,2016-07-13 19:58:27,691B - s-palindrome,GNU C++,Wrong answer on test 3,15 ms,0 KB
19085780,2016-07-13 19:56:48,691B - s-palindrome,GNU C++,Wrong answer on test 3,15 ms,0 KB
19085399,2016-07-13 19:54:05,691B - s-palindrome,GNU C++,Compilation error,0 ms,0 KB
19083500,2016-07-13 19:39:26,691A - Fashion in Berland,GNU C++11,Accepted,15 ms,0 KB
18790558,2016-06-29 20:18:38,687A - NP-Hard Problem,GNU C++,Accepted,483 ms,5200 KB
18462660,2016-06-14 20:01:10,681C - Heap Operations,GNU C++,Accepted,655 ms,24500 KB
18462181,2016-06-14 19:58:49,681C - Heap Operations,GNU C++,Wrong answer on pretest 10,468 ms,13700 KB
18461668,2016-06-14 19:56:17,681C - Heap Operations,GNU C++,Wrong answer on pretest 10,483 ms,13700 KB
18310678,2016-06-08 20:03:34,680B - Bear and Finding Criminals,GNU C++,Accepted,15 ms,2100 KB
18307001,2016-06-08 19:51:13,680A - Bear and Five Cards,GNU C++,Accepted,15 ms,2200 KB
18305391,2016-06-08 19:46:34,680C - Bear and Prime 100,GNU C++,Accepted,15 ms,2200 KB
18202389,2016-06-01 21:27:51,677D - Vanya and Treasure,GNU C++,Time limit exceeded on pretest 19,1500 ms,21200 KB
18199447,2016-06-01 21:02:06,677D - Vanya and Treasure,GNU C++,Wrong answer on pretest 4,15 ms,3200 KB
18194984,2016-06-01 20:25:20,677D - Vanya and Treasure,GNU C++,Wrong answer on pretest 4,15 ms,3200 KB
18190904,2016-06-01 19:58:29,677C - Vanya and Label,GNU C++,Accepted,31 ms,2400 KB
18189552,2016-06-01 19:50:33,677B - Vanya and Food Processor,GNU C++,Accepted,249 ms,2800 KB
18185391,2016-06-01 19:36:44,677A - Vanya and Fence,GNU C++,Accepted,15 ms,2200 KB
18097986,2016-05-26 08:12:39,676D - Theseus and labyrinth,GNU C++,Accepted,1185 ms,40300 KB
18088814,2016-05-25 20:01:57,676D - Theseus and labyrinth,GNU C++,Memory limit exceeded on pretest 4,998 ms,262100 KB
18080284,2016-05-25 18:45:31,676C - Vasya and String,GNU C++,Accepted,31 ms,2500 KB
18077712,2016-05-25 18:27:38,676B - Pyramid of Glasses,GNU C++,Accepted,15 ms,2200 KB
18074025,2016-05-25 18:10:31,676A - Nicholas and Permutation,GNU C++,Accepted,30 ms,2200 KB
17960555,2016-05-17 08:27:45,675C - Money Transfers,GNU C++,Accepted,327 ms,6200 KB
17960550,2016-05-17 08:27:07,675C - Money Transfers,GNU C++,Accepted,280 ms,6000 KB
17960543,2016-05-17 08:26:32,675C - Money Transfers,GNU C++,Compilation error,0 ms,0 KB
17960506,2016-05-17 08:23:56,675C - Money Transfers,GNU C++,Accepted,265 ms,6000 KB
17960496,2016-05-17 08:23:09,675C - Money Transfers,GNU C++,Accepted,280 ms,6200 KB
17960484,2016-05-17 08:22:25,675C - Money Transfers,GNU C++,Accepted,311 ms,6200 KB
17960467,2016-05-17 08:20:48,675C - Money Transfers,GNU C++,Accepted,280 ms,6000 KB
17948965,2016-05-16 20:47:53,675D - Tree Construction,GNU C++,Accepted,233 ms,11900 KB
17945769,2016-05-16 20:24:18,675D - Tree Construction,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
17939762,2016-05-16 19:53:19,675B - Restoring Painting,GNU C++,Accepted,15 ms,2200 KB
17935188,2016-05-16 19:40:23,675A - Infinite Sequence,GNU C++,Accepted,31 ms,2200 KB
17864302,2016-05-11 22:26:18,672C - Recycling Bottles,GNU C++,Accepted,155 ms,10100 KB
17864279,2016-05-11 22:25:45,672C - Recycling Bottles,GNU C++,Wrong answer on test 45,186 ms,10100 KB
17864239,2016-05-11 22:24:29,672C - Recycling Bottles,GNU C++,Time limit exceeded on test 8,2000 ms,10100 KB
17863944,2016-05-11 22:17:22,672C - Recycling Bottles,GNU C++,Wrong answer on test 52,202 ms,10100 KB
17862721,2016-05-11 21:34:52,672D - Robin Hood,GNU C++,Time limit exceeded on pretest 3,1000 ms,2000 KB
17854753,2016-05-11 20:21:51,672C - Recycling Bottles,GNU C++,Hacked,140 ms,10100 KB
17852971,2016-05-11 20:07:59,672C - Recycling Bottles,GNU C++,Wrong answer on pretest 3,15 ms,2000 KB
17851649,2016-05-11 19:59:17,672C - Recycling Bottles,GNU C++,Wrong answer on pretest 2,0 ms,2000 KB
17847775,2016-05-11 19:43:14,672B - Different is Good,GNU C++,Accepted,15 ms,2400 KB
17846833,2016-05-11 19:39:53,672A - Summer Camp,GNU C++,Accepted,15 ms,2200 KB
17816768,2016-05-09 10:43:23,673D - Bear and Two Paths,GNU C++,Accepted,15 ms,2200 KB
17815416,2016-05-09 07:11:37,673D - Bear and Two Paths,GNU C++,Accepted,15 ms,2200 KB
17787972,2016-05-07 18:51:14,673D - Bear and Two Paths,GNU C++,Hacked,15 ms,2000 KB
17786298,2016-05-07 18:38:31,673C - Bear and Colors,GNU C++,Accepted,93 ms,2200 KB
17784700,2016-05-07 18:28:26,673B - Problems for Round,GNU C++,Accepted,124 ms,2600 KB
17784202,2016-05-07 18:25:46,673B - Problems for Round,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
17783076,2016-05-07 18:19:36,673B - Problems for Round,GNU C++,Wrong answer on pretest 4,15 ms,2200 KB
17780560,2016-05-07 18:09:50,673A - Bear and Game,GNU C++,Accepted,15 ms,2200 KB
17754717,2016-05-06 08:44:28,670F - Restore a Number,GNU C++,Wrong answer on test 3,62 ms,2200 KB
17754663,2016-05-06 08:40:50,670F - Restore a Number,GNU C++,Wrong answer on test 4,46 ms,2000 KB
17754661,2016-05-06 08:40:18,670F - Restore a Number,GNU C++,Wrong answer on test 1,0 ms,2000 KB
17741232,2016-05-05 20:39:25,670E - Correct Bracket Sequence Editor,GNU C++,Accepted,623 ms,54200 KB
17724448,2016-05-05 19:20:02,670C - Cinema,GNU C++,Accepted,842 ms,23300 KB
17722529,2016-05-05 19:13:58,670B - Game of Robots,GNU C++,Accepted,109 ms,2600 KB
17721208,2016-05-05 19:10:11,670A - Holidays,GNU C++,Accepted,31 ms,2200 KB
17584902,2016-04-29 22:25:53,667C - Reberland Linguistics,GNU C++,Wrong answer on test 6,15 ms,2000 KB
17581973,2016-04-29 21:19:52,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,15 ms,2200 KB
17581087,2016-04-29 21:09:59,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,15 ms,2000 KB
17580931,2016-04-29 21:08:21,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,15 ms,2200 KB
17580765,2016-04-29 21:06:25,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,15 ms,2000 KB
17580198,2016-04-29 21:00:27,667C - Reberland Linguistics,GNU C++,Wrong answer on pretest 6,15 ms,2200 KB
17575911,2016-04-29 20:19:01,667B - Coat of Anticubism,GNU C++,Accepted,62 ms,4400 KB
17570053,2016-04-29 19:43:45,667A - Pouring Rain,GNU C++,Accepted,15 ms,2200 KB
17122336,2016-04-02 07:02:47,656A - Da Vinci Powers,GNU C++,Wrong answer on test 3,15 ms,2000 KB
16501908,2016-03-03 22:54:19,631C - Report,GNU C++,Wrong answer on test 14,358 ms,5200 KB
16501136,2016-03-03 22:27:33,631C - Report,GNU C++,Wrong answer on test 14,343 ms,5200 KB
16501073,2016-03-03 22:25:46,631C - Report,GNU C++,Runtime error on test 3,15 ms,0 KB
16500633,2016-03-03 22:16:43,631C - Report,GNU C++,Wrong answer on test 14,358 ms,5200 KB
16493731,2016-03-03 20:31:13,631C - Report,GNU C++,Wrong answer on test 14,327 ms,5200 KB
16488248,2016-03-03 19:48:43,631B - Print Check,GNU C++,Accepted,233 ms,3500 KB
16486186,2016-03-03 19:38:48,631A - Interview,GNU C++,Accepted,15 ms,0 KB
16416033,2016-02-28 23:05:38,635D - Factory Repairs,GNU C++,Accepted,592 ms,17200 KB
16414576,2016-02-28 22:44:48,635C - XOR Equation,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
16414147,2016-02-28 22:38:08,635C - XOR Equation,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
16412797,2016-02-28 22:17:07,635C - XOR Equation,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
16411951,2016-02-28 22:04:29,635C - XOR Equation,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
