Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved,Complexity,Class
733F,Drivers Dissatisfaction,Heaps binary search trees segment trees hash tables etc|Disjoint set union|Graphs|Trees,data structures|dsu|graphs|trees,341,0.756,Hard,
733E,Sleep in Class,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc|Two pointers,data structures|math|two pointers,290,0.739,Hard,
733D,Kostya the Sculptor,Heaps binary search trees segment trees hash tables etc,data structures,2285,0.739,Hard,
733C,Epidemic in Monstropolis,Constructive algorithms|Dynamic programming|Greedy algorithms|Two pointers,constructive algorithms|dp|greedy|two pointers,1765,0.706,Medium,
733B,Parade,Mathematics including integration differential equations etc,math,5190,0.366,Easy,
733A,Grasshopper And the String,Implementation problems programming technics simulation,implementation,6160,0.0,Easy,
732F,Tourist Reform,Dfs and similar,dfs and similar,441,0.645,Medium,
732E,Sockets,Greedy algorithms|Sortings orderings,greedy|sortings,985,0.353,Easy,
732D,Exams,Binary search|Greedy algorithms|Sortings orderings,binary search|greedy|sortings,2473,0.582,Medium,
732C,Sanatorium,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,4705,0.433,Medium,
732B,Cormen --- The Best Friend Of a Man,Dynamic programming|Greedy algorithms,dp|greedy,6262,0.706,Medium,
732A,Buy a Shovel,Brute force|Constructive algorithms|Mathematics including integration differential equations etc,brute force|constructive algorithms|math,7442,0.433,Medium,
731F,Video Cards,Brute force|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,brute force|data structures|implementation|number theory,1342,0.739,Hard,
731E,Funny Game,Dynamic programming|Games Sprague–Grundy theorem,dp|games,542,0.706,Medium,
731D,80-th Level Archeology,Brute force|Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Sortings orderings,brute force|data structures|greedy|sortings,595,0.739,Hard,
731C,Socks,Disjoint set union|Graphs|Greedy algorithms,dsu|graphs|greedy,2467,0.705,Medium,
731B,Coupons and Discounts,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,4297,0.433,Medium,
731A,Night at the Museum,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,5689,0.331,Easy,
730L,Expression Queries,,,25,0.938,Hard,
730K,Roads Orientation Problem,,,23,0.938,Hard,
730J,Bottles,Dynamic programming,dp,860,0.706,Medium,
730I,Olympiad in Programming and Sports,Dynamic programming|Graph network flows|Greedy algorithms,dp|flows|greedy,507,0.877,Hard,
730H,Delete Them,Implementation problems programming technics simulation,implementation,1548,0.0,Easy,
730G,Car Repair Shop,Implementation problems programming technics simulation,implementation,1195,0.0,Easy,
730F,Ber Patio,,,17,0.938,Hard,
730E,Award Ceremony,Greedy algorithms,greedy,374,0.353,Easy,
730D,Running Over The Bridges,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,323,0.353,Easy,
730C,Bulmart,Binary search|Dfs and similar,binary search|dfs and similar,530,0.645,Medium,
730B,Minimum and Maximum,Constructive algorithms,constructive algorithms,1053,0.433,Medium,
730A,Toda 2,Greedy algorithms,greedy,806,0.353,Easy,
727F,Polycarp's problems,Binary search|Dynamic programming|Greedy algorithms,binary search|dp|greedy,197,0.706,Medium,
727E,Games on a CD,Heaps binary search trees segment trees hash tables etc|Hashing hashtables|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|hashing|string suffix structures|strings,193,0.825,Hard,
727D,T-shirts Distribution,Constructive algorithms|Graph network flows|Greedy algorithms,constructive algorithms|flows|greedy,713,0.877,Hard,
727C,Guess the Array,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,1485,0.433,Medium,
727B,Bill Total Value,Parsing expression grammar|Implementation problems programming technics simulation,expression parsing|implementation,1098,0.713,Medium,
727A,Transformation: from A to B,Brute force|Dfs and similar,brute force|dfs and similar,2663,0.645,Medium,
725G,Messages on a Tree,,,14,0.938,Hard,
725F,Family Photos,Greedy algorithms,greedy,117,0.353,Easy,
