ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:20091
21577550,2016-10-18 23:46:22,714C - Sonya and Queries,GNU C++11,Accepted,530 ms,13800 KB
21575239,2016-10-18 21:41:25,721D - Maxim and Array,GNU C++11,Accepted,249 ms,16000 KB
21575171,2016-10-18 21:38:09,721D - Maxim and Array,GNU C++11,Wrong answer on test 9,171 ms,9000 KB
21575149,2016-10-18 21:37:03,721D - Maxim and Array,GNU C++11,Wrong answer on test 9,124 ms,9000 KB
21574133,2016-10-18 20:45:13,721C - Journey,GNU C++11,Accepted,140 ms,198500 KB
21574119,2016-10-18 20:44:35,721C - Journey,GNU C++11,Wrong answer on test 1,61 ms,198300 KB
21176982,2016-10-04 05:39:52,721B - Passwords,GNU C++11,Accepted,31 ms,0 KB
21176927,2016-10-04 05:35:04,721B - Passwords,GNU C++11,Wrong answer on test 5,15 ms,0 KB
21176881,2016-10-04 05:31:49,721B - Passwords,GNU C++11,Wrong answer on test 7,15 ms,0 KB
21042080,2016-09-30 19:03:07,721B - Passwords,GNU C++11,Wrong answer on pretest 5,15 ms,0 KB
21028982,2016-09-30 17:52:23,721B - Passwords,GNU C++11,Hacked,15 ms,0 KB
21026817,2016-09-30 17:42:24,721B - Passwords,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
21020703,2016-09-30 17:20:26,721A - One-dimensional Japanese Crossword,GNU C++11,Accepted,15 ms,0 KB
20996841,2016-09-29 18:40:53,630R - Game,GNU C++11,Accepted,15 ms,0 KB
20996494,2016-09-29 18:24:42,630O - Arrow,GNU C++11,Accepted,15 ms,0 KB
20996471,2016-09-29 18:23:43,630O - Arrow,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20995337,2016-09-29 17:38:36,630E - A rectangle,GNU C++11,Accepted,15 ms,0 KB
20995121,2016-09-29 17:29:48,630E - A rectangle,GNU C++11,Wrong answer on test 23,15 ms,0 KB
20995120,2016-09-29 17:29:41,630P - Area of a Star,GNU C++11,Accepted,15 ms,0 KB
20995105,2016-09-29 17:29:07,630E - A rectangle,GNU C++11,Wrong answer on test 22,15 ms,0 KB
20994977,2016-09-29 17:24:23,630Q - Pyramids,GNU C++11,Accepted,15 ms,0 KB
20994599,2016-09-29 17:09:30,630E - A rectangle,GNU C++11,Wrong answer on test 22,15 ms,0 KB
20994382,2016-09-29 17:01:17,630E - A rectangle,GNU C++11,Wrong answer on test 5,15 ms,0 KB
20994343,2016-09-29 16:59:55,630M - Turn,GNU C++11,Accepted,15 ms,0 KB
20994200,2016-09-29 16:54:19,630I - Parking Lot,GNU C++11,Accepted,15 ms,0 KB
20994105,2016-09-29 16:50:37,630I - Parking Lot,GNU C++11,Wrong answer on test 2,15 ms,0 KB
20993535,2016-09-29 16:31:24,630L - Cracking the Code,GNU C++11,Accepted,15 ms,100 KB
20993259,2016-09-29 16:22:13,630N - Forecast,GNU C++11,Accepted,15 ms,0 KB
20993248,2016-09-29 16:21:44,630K - Indivisibility,GNU C++11,Accepted,186 ms,31300 KB
20993239,2016-09-29 16:21:15,630N - Forecast,GNU C++11,Wrong answer on test 3,15 ms,0 KB
20993113,2016-09-29 16:17:14,630G - Challenge Pennants,GNU C++11,Accepted,15 ms,0 KB
20992887,2016-09-29 16:10:09,630H - Benches,GNU C++11,Accepted,15 ms,0 KB
20992789,2016-09-29 16:07:02,630K - Indivisibility,GNU C++11,Wrong answer on test 2,15 ms,0 KB
20992713,2016-09-29 16:04:35,630H - Benches,GNU C++11,Wrong answer on test 2,0 ms,100 KB
20992553,2016-09-29 15:58:40,630R - Game,GNU C++11,Accepted,15 ms,0 KB
20992542,2016-09-29 15:58:07,630R - Game,GNU C++11,Wrong answer on test 6,0 ms,0 KB
20992318,2016-09-29 15:50:38,630J - Divisibility,GNU C++11,Accepted,15 ms,0 KB
20992285,2016-09-29 15:49:37,630F - Selection of Personnel,GNU C++11,Accepted,15 ms,100 KB
20992069,2016-09-29 15:41:59,630D - Hexagons!,GNU C++11,Accepted,15 ms,0 KB
20991951,2016-09-29 15:37:46,630C - Lucky Numbers,GNU C++11,Accepted,15 ms,0 KB
20991892,2016-09-29 15:35:41,630B - Moore's Law,GNU C++11,Accepted,15 ms,0 KB
20991773,2016-09-29 15:31:11,630A - Again Twenty Five!,GNU C++11,Accepted,15 ms,0 KB
20593118,2016-09-13 21:10:48,714B - Filya and Homework,GNU C++11,Accepted,61 ms,3600 KB
20591999,2016-09-13 21:02:46,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 6,15 ms,400 KB
20591283,2016-09-13 20:57:55,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 6,15 ms,800 KB
20586972,2016-09-13 20:31:39,714A - Meeting of Old Friends,GNU C++11,Accepted,30 ms,0 KB
20584597,2016-09-13 20:19:53,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 3,0 ms,800 KB
20583237,2016-09-13 20:14:14,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 3,0 ms,800 KB
20577842,2016-09-13 19:55:31,714A - Meeting of Old Friends,GNU C++11,Wrong answer on pretest 3,15 ms,0 KB
20575728,2016-09-13 19:49:48,714A - Meeting of Old Friends,GNU C++11,Wrong answer on pretest 3,15 ms,0 KB
20256680,2016-08-29 18:59:34,711B - Chris and Magic Square,GNU C++11,Accepted,78 ms,2000 KB
